Primary Symptom,Q1,Q2,Q3,Q4,Q5,Q6,Urgency,Recommended Test 1,Test 1 Description,Recommended Test 2,Test 2 Description,Recommended Test 3,Test 3 Description,Recommended Test 4,Test 4 Description,Recommended Test 5,Test 5 Description,Recommended Test 6,Test 6 Description
Fainting,1,2,1,1,1,0,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Fainting,1,2,0,1,1,1,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems."
Fainting,1,3,0,1,1,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems."
Fainting,0,1,1,0,1,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Fainting,0,3,0,1,1,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.
Fainting,1,2,0,1,0,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.
Fainting,0,3,1,0,0,0,Routine,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.
Fainting,1,2,1,0,0,0,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Fainting,1,1,0,0,1,0,Soon,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,0,2,1,0,1,1,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,0,1,1,1,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,0,1,0,1,0,0,Soon,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,,
Fainting,0,2,0,1,1,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.
Fainting,1,2,1,0,1,0,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Fainting,0,2,1,1,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,1,2,1,1,1,1,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,0,2,1,1,0,0,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems."
Fainting,0,1,0,1,1,0,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.
Fainting,0,2,0,1,0,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,,,,
Fainting,0,3,0,1,0,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,,,,
Fainting,0,3,0,0,0,0,Routine,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,,,,
Fainting,1,3,0,0,0,0,Routine,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,1,1,0,0,1,1,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,1,3,1,0,0,1,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.
Fainting,0,1,1,0,0,1,Routine,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Fainting,0,3,1,0,0,1,Routine,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Fainting,1,3,0,0,1,0,Soon,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,0,3,1,1,1,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems."
Fainting,1,3,1,1,1,0,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,0,3,1,1,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,0,2,1,1,1,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems."
Fainting,0,3,1,1,1,1,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,1,2,0,0,1,1,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,0,1,0,0,1,0,Soon,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,,
Fainting,0,2,1,0,1,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Fainting,1,3,0,1,0,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.
Fainting,0,1,1,1,1,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,1,3,0,1,0,0,Soon,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.
Fainting,1,2,1,0,0,1,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Fainting,0,1,1,1,1,1,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,1,2,0,0,1,0,Soon,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
Fainting,0,1,1,1,0,0,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,1,1,0,1,1,1,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,0,2,0,1,0,0,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",,
Fainting,1,1,1,0,1,1,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Fainting,1,3,1,0,0,0,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.
Fainting,1,1,0,0,0,0,Routine,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Tilt Table Test,You lie on a table that slowly tilts upright while your blood pressure and heart rate are monitored — used to diagnose fainting.,EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.
Fainting,0,3,1,0,1,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Serum Electrolytes,A blood test measuring minerals like sodium and potassium — imbalances can trigger irregular heartbeat and fainting.,Brain CT Scan,"A quick CT scan of the brain to rule out bleeding, stroke, or other urgent neurological problems.",EP Study,An electrophysiology study where thin wires are inserted to map the electrical pathways of your heart — used for serious arrhythmias.
